Результаты анализа звукового файла: И.wav

Минимальная частота голоса: 0.0 Гц
Максимальная частота голоса: 10508.203125 Гц

Основной тон: 376.8310546875 Гц

Три самые сильные форманты:
Временной сегмент 0: ['65 Гц', '86 Гц', '75 Гц']
Временной сегмент 1: ['97 Гц', '75 Гц', '86 Гц']
Временной сегмент 2: ['97 Гц', '75 Гц', '86 Гц']
Временной сегмент 3: ['97 Гц', '75 Гц', '86 Гц']
Временной сегмент 4: ['97 Гц', '75 Гц', '86 Гц']
Временной сегмент 5: ['97 Гц', '75 Гц', '86 Гц']
Временной сегмент 6: ['97 Гц', '75 Гц', '86 Гц']
Временной сегмент 7: ['108 Гц', '75 Гц', '86 Гц']
Временной сегмент 8: ['248 Гц', '75 Гц', '86 Гц']
Временной сегмент 9: ['215 Гц', '172 Гц', '237 Гц']
Временной сегмент 10: ['205 Гц', '226 Гц', '215 Гц']
Временной сегмент 11: ['108 Гц', '215 Гц', '205 Гц']
Временной сегмент 12: ['215 Гц', '194 Гц', '205 Гц']
Временной сегмент 13: ['194 Гц', '215 Гц', '205 Гц']
Временной сегмент 14: ['108 Гц', '215 Гц', '205 Гц']
Временной сегмент 15: ['108 Гц', '215 Гц', '205 Гц']
Временной сегмент 16: ['108 Гц', '205 Гц', '215 Гц']
Временной сегмент 17: ['108 Гц', '226 Гц', '215 Гц']
Временной сегмент 18: ['108 Гц', '226 Гц', '215 Гц']
Временной сегмент 19: ['108 Гц', '226 Гц', '215 Гц']
Временной сегмент 20: ['108 Гц', '226 Гц', '215 Гц']
Временной сегмент 21: ['108 Гц', '226 Гц', '215 Гц']
Временной сегмент 22: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 23: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 24: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 25: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 26: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 27: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 28: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 29: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 30: ['108 Гц', '215 Гц', '226 Гц']
Временной сегмент 31: ['118 Гц', '237 Гц', '226 Гц']
